,route,ewt_mean,ewt_perc_25,ewt_perc_50,ewt_perc_75,rbt_geral,rbt_perc_25,rbt_perc_50,rbt_perc_75
147,5128-10-0,0.9331701606261152,0.9154956499428829,0.9251917117369362,0.9380886531876219,0.2548569470105077,0.32038981002581357,0.41025436597555154,0.5284855727727751
148,5141-10-0,0.7252389165982199,0.7499525196058582,0.7808701501241504,0.8025285393498427,0.2521699445519735,0.26348826379525425,0.31001385896862976,0.538199411297971
149,5142-10-0,0.7589787584218446,0.8061500396870516,0.8281075006666704,0.8579702255582534,0.21157038732503644,0.23794583971674252,0.2739242857950527,0.294713704893545
150,5143-10-0,0.7935077873220927,0.7996145506417768,0.823849975845207,0.9553821763846264,0.3544129370164539,0.4503571162013268,0.6108601309631352,0.7725355548160201
151,5144-10-0,0.6976649597965607,0.7440588390328964,0.7793618463663775,0.8019193614443028,0.20531578092453717,0.23891070942898668,0.2839549686794078,0.42167046846138545
152,5290-10-0,0.9453049433445943,0.9491710529637034,1.1136257854553302,1.466930863234413,0.20392860684367736,0.21603806922903024,0.24242386042361538,0.34291580224645046
153,5317-10-0,0.9518885524870461,0.945980130711963,0.947206049904229,0.9402786110388217,0.2337968239636845,0.2572476901738033,0.2691724214245783,0.38272959630418535
154,5370-10-0,0.8775090832382118,0.9689935388333308,1.0194067042374646,1.0652475489964364,0.23378922857698928,0.2977194245140201,0.30460223866982095,0.33248864930462646
155,5391-10-0,0.7441530286415946,0.8424702603339549,1.273723900145821,1.390209142744991,0.2887560383572412,0.32415328662884274,0.32610082053585193,0.33280958467104493
156,546J-10-0,0.8010628324481246,0.812834352273713,0.8274498789777823,0.8454740162733133,0.22977475908129358,0.289313766323621,0.32688153366654726,0.5397299618569048
157,5632-10-0,0.7059712358917044,0.7154785652427142,0.7218543725882397,0.7292981145404367,0.2184589655030969,0.24823599414729078,0.29453461036734335,0.39912671900247254
158,5701-10-0,1.3503795821848488,1.311805640895471,1.2792284843106614,1.3861646060167103,0.30070016162993685,0.38325683426719326,0.537250577504393,0.9048309367778452
159,574A-10-0,0.9137730127735608,0.8965039699557475,0.9752424438176641,1.1188938928535122,0.18834897936526446,0.1733449093342504,0.21050499370832204,0.2357828591582664
160,574C-10-0,0.6813774395201894,0.6995369410564919,0.7166451684970917,0.74143645735602,0.2010847591825146,0.2390831638510814,0.2319549398204092,0.26837620271624624
161,574R-10-0,0.6389419978584713,0.6792253654754008,0.7129368552198114,0.7514269950921192,0.20252159836035008,0.21962006394231107,0.21979863611530304,0.3074587732712128
162,5757-10-0,0.7766187422579844,0.7932138384141176,0.8170841767671744,0.8494209107777113,0.37248751991015594,0.4375124889671705,0.5377577450366856,0.6531641535346331
163,576M-10-0,1.1893548198069435,1.1494320811653305,1.1506107652849369,1.1412794370382415,0.267575849951541,0.2850004542945903,0.28400186705570857,0.3305943583516521
164,577T-10-0,0.8629573539512772,0.9068073741514772,0.9272042244409541,0.9569914299929984,0.18072006708284677,0.1857088381115475,0.1964868194452215,0.3442312492405176
165,6001-10-0,0.9041277876122551,0.9025719862139352,0.8964555688656741,0.9043289580281936,0.36407512523663504,0.3861032194520507,0.45674074471239223,0.7567947593997258
166,6003-10-0,1.238049709319703,1.2306438685193655,1.222244731513363,1.2209253887094988,0.3047925556209107,0.2625288360482426,0.304038280722073,0.28819148145251144
167,6013-10-0,0.9503232357020339,0.9540955180935743,0.9850376202262157,0.9875362139561045,0.4500978326812035,0.5613631999121009,0.7271374263117331,1.1604067233586635
168,6015-10-0,0.9791114393069408,0.977566464584086,0.985811685217297,0.9780703915669803,0.4036657066973793,0.5299155559446522,0.6506674676013534,0.9638755731367069
169,6022-10-0,0.8651916343091048,0.8542268167775876,0.8625427214112095,0.8606631937315081,0.48640194096305234,0.5980819686938024,0.7851073540562572,0.5480271151965355
170,6027-10-0,0.9662641206296496,0.9613927427736257,1.0911521888625577,1.0821554652847538,0.24184678210015717,0.31148377516169057,0.4863340670944658,0.798325243388936
