trip,headway
411431,3600.000000
411431,3600.000000
411510,1030.000000
414P10,704.210526
414P10,808.421053
421010,577.894737
421010,612.631579
422110,1563.157895
422110,1566.666667
422210,1165.263158
425E10,1405.263158
425E10,1266.666667
428410,1294.736842
428610,1405.263158
428810,1269.473684
428810,1389.473684
431010,287.368421
431010,353.684211
431110,473.684211
431110,628.421053
431210,606.315789
431210,570.000000
431310,543.157895
431310,555.789474
431410,862.105263
431410,969.473684
431510,565.263158
431510,593.684211
449110,1222.105263
449110,1066.666667
470610,1237.894737
470610,1150.000000
470810,1184.210526
470810,1056.666667
470910,757.894737
470910,710.000000
471610,600.000000
471610,456.666667
471710,1547.368421
471810,1405.263158
472110,990.000000
472110,1050.000000
472310,1170.000000
472410,975.789474
472510,1436.842105
472610,693.333333
472610,646.666667
472631,2400.000000
472710,1020.000000
472710,876.666667
472910,647.368421
472910,640.000000
473210,1373.684211
473210,1300.000000
473231,641.052632
473231,789.473684
473410,325.263158
473410,464.210526
473421,1050.000000
473510,982.105263
473510,1038.947368
474210,944.210526
475M10,1452.631579
475M10,1366.666667
475R10,669.473684
475R10,656.666667
476A10,997.894737
476A10,988.421053
476G10,735.789474
476G10,686.666667
476G41,1212.631579
476G41,1166.666667
476L10,3600.000000
477A10,701.052632
477A10,833.684211
477P10,922.105263
477P10,985.263158
477U10,1278.947368
477U10,1357.894737
478P10,1010.526316
478P10,1006.666667
501010,729.473684
501010,643.333333
501110,536.842105
501110,678.947368
501210,416.842105
501210,454.736842
501221,1800.000000
501310,451.578947
501310,517.894737
501331,810.000000
501331,810.000000
501510,694.736842
501510,757.894737
501810,808.421053
501810,786.666667
501831,1515.789474
501831,1400.000000
502010,448.421053
502010,470.526316
502110,824.210526
502110,855.789474
502210,410.000000
502210,410.000000
502410,612.631579
502410,580.000000
502431,830.526316
502431,760.000000
502610,997.894737
502810,1405.263158
502910,590.526316
502910,678.947368
502J10,1023.157895
502J10,963.333333
502J21,2028.000000
502J22,1500.000000
503010,1076.842105
503010,1061.052632
503110,164.210526
503110,164.210526
503121,1440.000000
503121,1440.000000
503210,650.526316
503210,732.631579
503310,990.000000
503310,1033.333333
503410,928.421053
503410,925.263158
503431,976.666667
503510,672.631579
503510,685.263158
503610,1174.736842
503610,1301.052632
503810,754.736842
503810,757.894737
507T10,483.157895
507T10,631.578947
508L10,823.333333
509110,978.947368
509J10,817.894737
509J10,660.000000
509J21,1733.333333
509M10,1329.473684
509M10,1173.333333
509M21,1500.000000
509M21,1950.000000
510010,1490.000000
510010,1456.666667
510310,571.578947
510321,806.666667
510410,966.315789
510410,1092.631579
510510,224.210526
510510,221.052632
510610,1042.105263
510621,1212.631579
510631,1206.315789
510631,1443.157895
510710,666.315789
510710,761.052632
510810,577.894737
510810,716.842105
510910,397.894737
510910,413.684211
511010,375.789474
511010,407.368421
511021,1260.000000
511022,1800.000000
511041,1190.769231
511041,1250.769231
511110,685.263158
511110,694.736842
511910,915.789474
511910,1098.947368
511922,1650.000000
511922,2520.000000
511923,2400.000000
512310,593.684211
512310,526.666667
512710,792.631579
512710,918.947368
512810,420.000000
512810,410.000000
512910,757.894737
512910,821.052632
512941,713.684211
512941,636.666667
513110,1380.000000
513110,1273.333333
513L10,1064.210526
513L10,1168.421053
514110,1177.894737
514110,1370.526316
514210,742.105263
514210,710.000000
514310,1253.684211
514310,1301.052632
514331,3600.000000
514410,1102.105263
514410,1215.789474
514510,1285.263158
514510,1233.333333
514541,1800.000000
514541,2057.142857
514T10,593.684211
514T10,726.315789
514T21,1640.000000
514T21,900.000000
515410,1095.789474
515410,1127.368421
516410,982.105263
516421,1342.105263
516441,1452.631579
516N10,495.789474
517510,1051.578947
517510,963.333333
517810,890.526316
517810,856.666667
517821,1800.000000
517J10,694.736842
517J10,660.000000
518510,1023.157895
518510,970.000000
519410,922.105263
519M10,1222.105263
519M10,1389.473684
524L10,1064.210526
524L10,916.666667
524M10,394.736842
524M10,375.789474
527R10,903.157895
527R10,886.666667
529010,918.947368
529010,830.000000
530010,653.684211
530010,615.789474
531710,1146.315789
531710,1090.000000
531810,590.526316
531810,520.000000
531821,1600.000000
531822,1600.000000
536210,754.736842
536210,746.666667
536221,1500.000000
536222,2400.000000
536223,1004.210526
536241,2280.000000
537010,492.631579
537010,490.000000
537021,1050.000000
537021,2280.000000
537022,3600.000000
539110,587.368421
539110,593.333333
539121,2160.000000
539122,1200.000000
546A10,833.684211
546A10,966.315789
546A31,830.526316
546A31,862.105263
546J10,631.578947
546J10,616.666667
546J31,713.684211
546J31,636.666667
546J41,3600.000000
546L10,887.368421
546L10,810.000000
